commodity,unit,pre_obbba_rate,obbba_rate,percent_change,source
barley,dollars_per_bushel,2.50,2.75,10.0,USDA_ERS_Title_I_Table_2
corn,dollars_per_bushel,2.20,2.42,10.0,USDA_ERS_Title_I_Table_2
flaxseed,dollars_per_bushel,10.09,11.10,10.01,USDA_ERS_Title_I_Table_2
grain_sorghum,dollars_per_bushel,2.20,2.42,10.0,USDA_ERS_Title_I_Table_2
oats,dollars_per_bushel,2.00,2.20,10.0,USDA_ERS_Title_I_Table_2
soybeans,dollars_per_bushel,6.20,6.82,10.0,USDA_ERS_Title_I_Table_2
wheat,dollars_per_bushel,3.38,3.72,10.06,USDA_ERS_Title_I_Table_2
canola,dollars_per_cwt,10.09,11.10,10.01,USDA_ERS_Title_I_Table_2
crambe,dollars_per_cwt,10.09,11.10,10.01,USDA_ERS_Title_I_Table_2
dry_peas,dollars_per_cwt,5.00,6.20,24.0,USDA_ERS_Title_I_Table_2
large_chickpeas,dollars_per_cwt,14.00,15.40,10.0,USDA_ERS_Title_I_Table_2
lentils,dollars_per_cwt,13.00,14.30,10.0,USDA_ERS_Title_I_Table_2
long_grain_rice,dollars_per_cwt,7.00,7.70,10.0,USDA_ERS_Title_I_Table_2
medium_short_grain_rice,dollars_per_cwt,7.00,7.70,10.0,USDA_ERS_Title_I_Table_2
mustard_seed,dollars_per_cwt,10.09,11.10,10.01,USDA_ERS_Title_I_Table_2
rapeseed,dollars_per_cwt,10.09,11.10,10.01,USDA_ERS_Title_I_Table_2
safflower,dollars_per_cwt,10.09,11.10,10.01,USDA_ERS_Title_I_Table_2
sesame_seed,dollars_per_cwt,11.10,11.10,0.0,USDA_ERS_Title_I_Table_2
small_chickpeas,dollars_per_cwt,10.09,11.10,10.01,USDA_ERS_Title_I_Table_2
sunflower_seed,dollars_per_cwt,10.09,11.10,10.01,USDA_ERS_Title_I_Table_2
extra_long_staple_cotton,dollars_per_pound,0.95,1.00,5.26,USDA_ERS_Title_I_Table_2
upland_cotton,dollars_per_pound,0.485,0.55,13.40,USDA_ERS_Title_I_Table_2
peanuts,dollars_per_ton,355,390,9.86,USDA_ERS_Title_I_Table_2
