commodity,unit,pre_obbba_statutory_reference_price,obbba_2026_2030_reference_price
barley,bushel,4.95,5.45
canola,cwt,20.15,23.75
large_chickpeas,cwt,21.54,25.65
small_chickpeas,cwt,19.04,22.65
corn,bushel,3.70,4.10
seed_cotton,pound,0.367,0.42
crambe,cwt,20.15,23.75
flaxseed,cwt,20.15,23.75
lentils,cwt,19.97,23.75
mustard_seed,cwt,20.15,23.75
oats,bushel,2.40,2.65
peanuts,ton,535.00,630.00
dry_peas,cwt,11.00,13.10
rapeseed,cwt,20.15,23.75
long_grain_rice,cwt,14.00,16.90
medium_short_grain_rice,cwt,14.00,16.90
temperate_japonica_rice,cwt,17.30,24.33
safflower,cwt,20.15,23.75
sesame_seed,cwt,20.15,23.75
grain_sorghum,bushel,3.95,4.40
soybeans,bushel,8.40,10.00
sunflower_seed,cwt,20.15,23.75
wheat,bushel,5.50,6.35
