scenario,agricultural_bank,regime,capital_requirement,states,feasible_share,equilibrium_iterations,equilibrium_gap,value_iterations,bellman_residual,balance_sheet_error,capital_constraint_violations
A_no_policy,0,current_power,0.06,48,1,4,0.00394210834481554,12,9.59172915515616e-05,1.11022302462516e-16,0
A_no_policy,1,current_power,0.06,48,1,4,0.00656719263287321,4,9.84634802363438e-05,1.11022302462516e-16,0
B_obbba_current_market_power,0,current_power,0.06,48,1,4,0.00394210834481554,12,9.59574171284228e-05,1.11022302462516e-16,0
B_obbba_current_market_power,1,current_power,0.06,48,1,4,0.00404998335664354,13,9.86287830455623e-05,1.11022302462516e-16,0
B1_deposit_funding_only,0,current_power,0.06,48,1,4,0.00394210834481554,12,9.59269360727433e-05,1.11022302462516e-16,0
B1_deposit_funding_only,1,current_power,0.06,48,1,4,0.00656719263287321,4,9.85063173841727e-05,1.11022302462516e-16,0
B2_borrower_liquidity_only,0,current_power,0.06,48,1,4,0.00394210834481554,12,9.5915154884052e-05,1.11022302462516e-16,0
B2_borrower_liquidity_only,1,current_power,0.06,48,1,4,0.00656719725817102,4,9.83414575312924e-05,1.11022302462516e-16,0
B3_default_risk_only,0,current_power,0.06,48,1,4,0.00394210834481554,12,9.60652598884781e-05,1.11022302462516e-16,0
B3_default_risk_only,1,current_power,0.06,48,1,4,0.00656719263287321,5,9.91252879232185e-05,1.11022302462516e-16,0
B4_marketing_loan_outside_credit_only,0,current_power,0.06,48,1,4,0.00394210834481554,12,9.58146492133771e-05,1.11022302462516e-16,0
B4_marketing_loan_outside_credit_only,1,current_power,0.06,48,1,4,0.00656722467153601,4,9.76185336909463e-05,1.11022302462516e-16,0
B5_obbba_no_default_effect,0,current_power,0.06,48,1,4,0.00394210834481554,12,9.58223505242994e-05,1.11022302462516e-16,0
B5_obbba_no_default_effect,1,current_power,0.06,48,1,4,0.00404998335664354,3,9.51313841417445e-05,1.11022302462516e-16,0
B6_obbba_chargeoffs_down_25pct,0,current_power,0.06,48,1,4,0.00598480017170328,12,9.56508898604103e-05,1.11022302462516e-16,0
B6_obbba_chargeoffs_down_25pct,1,current_power,0.06,48,1,4,0.00404998335664354,10,9.81592853790403e-05,1.11022302462516e-16,0
