parameter,value,status
discount_rate,0.105082704729021,initial_SMD_parameter
wholesale_cost,0.0180422522048091,initial_SMD_parameter
deposit_service_cost,0.00241893249195753,initial_SMD_parameter
loan_service_cost,0.0317797333472312,initial_SMD_parameter
fixed_operating_cost,0.000566143411889437,initial_SMD_parameter
wealth_to_loan_market,43.5760726106213,initial_SMD_parameter
no_borrow_quality,1.8708934749638,initial_SMD_parameter
tax_rate,0.35,statutory_or_direct
capital_requirement,0.06,statutory_or_direct
reserve_requirement,0.03,statutory_or_direct
maturity_rate,0.285714285714286,statutory_or_direct
farm_demand_loading,0.1,policy_stress_calibration
farm_default_loading,0.005,policy_stress_calibration
farm_demand_reduced_form,-0.0370840111770584,descriptive_not_causal
farm_default_reduced_form,2.47429899329925e-05,descriptive_not_causal
