scenario,bank_type,regime,capital_requirement,deposit_market_size_multiplier,loan_demand_utility_change,default_rate_multiplier,outside_credit_utility_change,result_status,total_loan_rate,agricultural_loan_rate,deposit_rate,new_total_loans,new_agricultural_loans,deposits,wholesale_funding,securities,dividends,next_equity,loan_markup,deposit_markdown,bank_value,change_new_total_loans_from_no_policy,pct_change_new_total_loans_from_no_policy,change_new_agricultural_loans_from_no_policy,pct_change_new_agricultural_loans_from_no_policy,change_total_loan_rate_from_no_policy,change_agricultural_loan_rate_from_no_policy,change_deposit_rate_from_no_policy,change_wholesale_funding_from_no_policy,change_securities_from_no_policy,change_next_equity_from_no_policy
A_no_policy,agricultural_banks,current_power,0.06,1,0,1,0,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0694743950941733,0.0851454578534177,0.0194993332973312,0.160139770744464,0.0369339553038751,0.837437490870283,0.0359605574723095,0.437695205765126,0.0768601970101833,0.112374127681335,0.0319376988115657,0.0109602557437647,0.154346288105985,0,0,0,0,0,0,0,0,0,0
B1_deposit_funding_only,agricultural_banks,current_power,0.06,1.00132427151939,0,1,0,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0694743950941733,0.0851454578534177,0.0194993332973312,0.160139770744464,0.0369339553038751,0.838546485488713,0.0358994182766558,0.438709791349349,0.0768689565037744,0.112374127681335,0.0319376988115657,0.0109602557437647,0.15441515913248,0,0,0,0,0,0,0,-6.11391956536617e-05,0.00101458558422346,0
B2_borrower_liquidity_only,agricultural_banks,current_power,0.06,1,-0.013246083127955,1,0,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0694743950941733,0.0851454578534177,0.0194993332973312,0.159667413660932,0.0364482284711396,0.837437490870283,0.0358804104817084,0.438087415858057,0.076810026232282,0.112374127681335,0.0319376988115657,0.0109602557437647,0.154165689405059,-0.000472357083532465,-0.00294965505031353,-0.000485726832735435,-0.013151227068401,0,0,0,-8.01469906011251e-05,0.000392210092931333,0
B3_default_risk_only,agricultural_banks,current_power,0.06,1,0,0.9,0,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.069470454227779,0.0851454578534177,0.0194993332973312,0.160213574237996,0.0369339553038751,0.837437490870283,0.0359726363270208,0.437633481126305,0.0769208426232245,0.112374127681335,0.0319337579451714,0.0109602557437647,0.154390760253105,7.38034935321985e-05,0.000460869234351291,0,0,-3.94086639431135e-06,0,0,1.20788547112935e-05,-6.17246388208703e-05,0
B4_marketing_loan_outside_credit_only,agricultural_banks,current_power,0.06,1,0,1,0.0955704838210262,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0694743950941733,0.0851454578534177,0.0194993332973312,0.156762792786389,0.0335693542592718,0.837437490870283,0.0354108349945347,0.440522461245427,0.076501994906772,0.112374127681335,0.0319376988115657,0.0109602557437647,0.153056585949235,-0.00337697795807554,-0.0210876907240251,-0.0033646010446033,-0.09109777214276,0,0,0,-0.000549722477774732,0.00282725548030083,0
B5_obbba_no_default_effect,agricultural_banks,current_power,0.06,1.00132427151939,-0.013246083127955,1,0.0955704838210262,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0694743950941733,0.0851454578534177,0.0194993332973312,0.156300396445227,0.0331278530841475,0.838546485488713,0.0352829647421134,0.441932712114043,0.0764617863909401,0.112374127681335,0.0319376988115657,0.0109602557437647,0.152948562217651,-0.00383937429923664,-0.0239751454706598,-0.00380610221972762,-0.103051573773045,0,0,0,-0.000677592730196026,0.00423750634891768,0
B6_obbba_chargeoffs_down_25pct,agricultural_banks,current_power,0.06,1.00132427151939,-0.013246083127955,0.75,0.0955704838210262,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0694645429281875,0.0851454578534177,0.0194993332973312,0.156480561500256,0.0331278530841475,0.838546485488713,0.0353114753324994,0.441781057649401,0.0766121286336656,0.112374127681335,0.0319278466455799,0.0109602557437647,0.153791059331426,-0.00365920924420851,-0.0228500966824009,-0.00380610221972762,-0.103051573773045,-9.85216598577143e-06,0,0,-0.000649082139810103,0.00408585188427546,0
B_obbba_current_market_power,agricultural_banks,current_power,0.06,1.00132427151939,-0.013246083127955,0.9,0.0955704838210262,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.069470454227779,0.0851454578534177,0.0194993332973312,0.156372430520485,0.0331278530841475,0.838546485488713,0.0352943639228243,0.441872077219497,0.0765219085522782,0.112374127681335,0.0319337579451714,0.0109602557437647,0.153031793249021,-0.00376734022397898,-0.0235253254482958,-0.00380610221972762,-0.103051573773045,-3.94086639431135e-06,0,0,-0.000666193549485217,0.00417687145437085,0
A_no_policy,nonagricultural_banks,current_power,0.06,1,0,1,0,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0703277388836153,0.086428041929666,0.019732332463481,0.16877943405664,0.0105564225514652,0.83669956009371,0.0419336184733958,0.434312810600761,0.0779611371495207,0.112374127681335,0.0327910426010077,0.0107272565776149,0.160294990478797,0,0,0,0,0,0,0,0,0,0
B1_deposit_funding_only,nonagricultural_banks,current_power,0.06,1.00018992842665,0,1,0,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0703277388836153,0.086428041929666,0.019732332463481,0.16877943405664,0.0105564225514652,0.836858473124741,0.0419182430433034,0.434451580810768,0.0779624183225128,0.112374127681335,0.0327910426010077,0.0107272565776149,0.160305347452754,0,0,0,0,0,0,0,-1.53754300924111e-05,0.000138770210007133,0
B2_borrower_liquidity_only,nonagricultural_banks,current_power,0.06,1,-0.00189976729920943,1,0,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0703277388836153,0.086428041929666,0.019732332463481,0.168768621922736,0.0105363920539941,0.83669956009371,0.0419307292462876,0.434320733507557,0.0779599524272167,0.112374127681335,0.0327910426010077,0.0107272565776149,0.160289577828174,-1.08121339042755e-05,-6.40607308864949e-05,-2.0030497471164e-05,-0.00189747022473852,0,0,0,-2.88922710820622e-06,7.92290679607621e-06,0
B3_default_risk_only,nonagricultural_banks,current_power,0.06,1,0,0.9,0,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0703268505271656,0.086428041929666,0.019732332463481,0.168796913107681,0.0105564225514652,0.83669956009371,0.0419381810215525,0.434299894097877,0.0779709504610211,0.112374127681335,0.032790154244558,0.0107272565776149,0.16034622685475,1.74790510406031e-05,0.000103561498107307,0,0,-8.88356449679773e-07,0,0,4.56254815662388e-06,-1.29165028839306e-05,0
B4_marketing_loan_outside_credit_only,nonagricultural_banks,current_power,0.06,1,0,1,0.0955704838210262,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0703277388836153,0.086428041929666,0.019732332463481,0.168236372414217,0.00959447791516138,0.83669956009371,0.0417890380884201,0.434711291858209,0.0779017873589162,0.112374127681335,0.0327910426010077,0.0107272565776149,0.160025100029671,-0.000543061642423431,-0.00321758184259102,-0.000961944636303854,-0.0911241125119926,0,0,0,-0.000144580384975716,0.000398481257447736,0
B5_obbba_no_default_effect,nonagricultural_banks,current_power,0.06,1.00018992842665,-0.00189976729920943,1,0.0955704838210262,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0703277388836153,0.086428041929666,0.019732332463481,0.168225595066559,0.00957627224739817,0.836858473124741,0.0417717994942262,0.434858976251771,0.0779018934522701,0.112374127681335,0.0327910426010077,0.0107272565776149,0.160030130298351,-0.000553838990080491,-0.00328143646870283,-0.000980150304067067,-0.0928487183312895,0,0,0,-0.000161818979169594,0.000546165651010455,0
B6_obbba_chargeoffs_down_25pct,nonagricultural_banks,current_power,0.06,1.00018992842665,-0.00189976729920943,0.75,0.0955704838210262,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0703255179924912,0.086428041929666,0.019732332463481,0.168269153659017,0.00957627224739817,0.836858473124741,0.0417829252625193,0.434826543427606,0.0779263931616327,0.112374127681335,0.0327888217098835,0.0107272565776149,0.160211821913249,-0.000510280397622465,-0.00302335649171104,-0.000980150304067067,-0.0928487183312895,-2.22089112417168e-06,0,0,-0.000150693210876574,0.00051373282684547,0
B_obbba_current_market_power,nonagricultural_banks,current_power,0.06,1.00018992842665,-0.00189976729920943,0.9,0.0955704838210262,estimated_SMD_Bellman_counterfactual_passes_fit_gate,0.0703268505271656,0.086428041929666,0.019732332463481,0.168243016765544,0.00957627224739817,0.836858473124741,0.0417762493576364,0.434846004416197,0.0779116927588846,0.112374127681335,0.032790154244558,0.0107272565776149,0.16008406492252,-0.000536417291095853,-0.00317821477536084,-0.000980150304067067,-0.0928487183312895,-8.88356449679773e-07,0,0,-0.000157369115759427,0.000533193815435984,0
