scenario,bank_type,identification,total_loan_change_percent,agricultural_loan_change_percent,total_loan_rate_change_basis_points,agricultural_loan_rate_change_basis_points,deposit_rate_change_basis_points,change_wholesale_funding_from_no_policy,change_securities_from_no_policy,change_next_equity_from_no_policy,equilibrium_gap
A_no_policy,agricultural_banks,baseline,0,0,0,0,0,0,0,0,0.000399846566005571
B1_deposit_funding_only,agricultural_banks,estimated total-FSA deposit response; structural allocation,0,0,0,0,0,-6.11391956536617e-05,0.00101458558422346,0,0.000399846566005571
B2_borrower_liquidity_only,agricultural_banks,descriptive total-FSA lending reduced form,-0.294965505031353,-1.3151227068401,0,0,0,-8.01469906011251e-05,0.000392210092931333,0,0.000399846566014134
B3_default_risk_only,agricultural_banks,calibrated 10-percent charge-off reduction,0.0460869234351291,0,-0.0394086639431135,0,0,1.20788547112935e-05,-6.17246388208703e-05,0,0.000400255898611021
B4_marketing_loan_outside_credit_only,agricultural_banks,statutory MAL rate change; outside-option elasticity calibrated,-2.10876907240251,-9.109777214276,0,0,0,-0.000549722477774732,0.00282725548030083,0,0.000399846566066647
B5_obbba_no_default_effect,agricultural_banks,default-risk sensitivity,-2.39751454706598,-10.3051573773045,0,0,0,-0.000677592730196026,0.00423750634891768,0,0.000399846566075029
B6_obbba_chargeoffs_down_25pct,agricultural_banks,combined estimated and calibrated channels,-2.28500966824009,-10.3051573773045,-0.0985216598577143,0,0,-0.000649082139810103,0.00408585188427546,0,0.0004008701368928
B_obbba_current_market_power,agricultural_banks,combined estimated and calibrated channels,-2.35253254482958,-10.3051573773045,-0.0394086639431135,0,0,-0.000666193549485217,0.00417687145437085,0,0.000400255898677412
A_no_policy,nonagricultural_banks,baseline,0,0,0,0,0,0,0,0,0.000442874886182693
B1_deposit_funding_only,nonagricultural_banks,estimated total-FSA deposit response; structural allocation,0,0,0,0,0,-1.53754300924111e-05,0.000138770210007133,0,0.000442874886182693
B2_borrower_liquidity_only,nonagricultural_banks,descriptive total-FSA lending reduced form,-0.00640607308864949,-0.189747022473852,0,0,0,-2.88922710820622e-06,7.92290679607621e-06,0,0.000442874886184386
B3_default_risk_only,nonagricultural_banks,calibrated 10-percent charge-off reduction,0.0103561498107307,0,-0.00888356449679773,0,0,4.56254815662388e-06,-1.29165028839306e-05,0,0.000442981365116682
B4_marketing_loan_outside_credit_only,nonagricultural_banks,statutory MAL rate change; outside-option elasticity calibrated,-0.321758184259102,-9.11241125119926,0,0,0,-0.000144580384975716,0.000398481257447736,0,0.000442874886268527
B5_obbba_no_default_effect,nonagricultural_banks,default-risk sensitivity,-0.328143646870283,-9.28487183312895,0,0,0,-0.000161818979169594,0.000546165651010455,0,0.000442874886270248
B6_obbba_chargeoffs_down_25pct,nonagricultural_banks,combined estimated and calibrated channels,-0.302335649171104,-9.28487183312895,-0.0222089112417168,0,0,-0.000150693210876574,0.00051373282684547,0,0.0004431410957597
B_obbba_current_market_power,nonagricultural_banks,combined estimated and calibrated channels,-0.317821477536084,-9.28487183312895,-0.00888356449679773,0,0,-0.000157369115759427,0.000533193815435984,0,0.000442981365203612
