parameter,value,status
discount_rate,0.045,initial_SMD_parameter
wholesale_cost,0.01,initial_SMD_parameter
deposit_service_cost,0.0188894054735712,initial_SMD_parameter
loan_service_cost,0.0217757652347615,initial_SMD_parameter
fixed_operating_cost,0.0197782210574705,initial_SMD_parameter
wealth_to_loan_market,13.4807943624453,initial_SMD_parameter
no_borrow_quality,0,initial_SMD_parameter
tax_rate,0.35,statutory_or_direct
capital_requirement,0.06,statutory_or_direct
reserve_requirement,0.03,statutory_or_direct
maturity_rate,0.285714285714286,statutory_or_direct
farm_demand_loading,0.1,policy_stress_calibration
farm_default_loading,0.005,policy_stress_calibration
farm_demand_reduced_form,-0.0315151129735836,descriptive_not_causal
farm_default_reduced_form,-0.000124942025581662,descriptive_not_causal
