actual_revenue_share,retention_case,retention_rate,baseline_arc_payments,obbba_arc_payments,baseline_plc_payments,obbba_plc_payments,added_base_payment_scenario,full_incremental_payments,predicted_deposit_change
0.7,zero,0,16693496219.0522,20866870273.8152,287653377.666831,1655598324.03898,2743101259.12588,8284420260.26107,0
0.7,estimated_naive,0.0142455184434607,16693496219.0522,20866870273.8152,287653377.666831,1655598324.03898,2743101259.12588,8284420260.26107,118015861.610928
0.7,ten_percent,0.1,16693496219.0522,20866870273.8152,287653377.666831,1655598324.03898,2743101259.12588,8284420260.26107,828442026.026105
0.7,twenty_five_percent,0.25,16693496219.0522,20866870273.8152,287653377.666831,1655598324.03898,2743101259.12588,8284420260.26107,2071105065.06527
0.8,zero,0,10016097731.4313,16693496219.0522,287653377.666831,1655598324.03898,2234809391.62098,10280152825.614,0
0.8,estimated_naive,0.0142455184434607,10016097731.4313,16693496219.0522,287653377.666831,1655598324.03898,2234809391.62098,10280152825.614,146446106.678879
0.8,ten_percent,0.1,10016097731.4313,16693496219.0522,287653377.666831,1655598324.03898,2234809391.62098,10280152825.614,1028015282.5614
0.8,twenty_five_percent,0.25,10016097731.4313,16693496219.0522,287653377.666831,1655598324.03898,2234809391.62098,10280152825.614,2570038206.4035
0.85,zero,0,1669349621.90522,8346748109.5261,287653377.666831,1655598324.03898,1218225656.61118,9263569090.60421,0
0.85,estimated_naive,0.0142455184434607,1669349621.90522,8346748109.5261,287653377.666831,1655598324.03898,1218225656.61118,9263569090.60421,131964344.332475
0.85,ten_percent,0.1,1669349621.90522,8346748109.5261,287653377.666831,1655598324.03898,1218225656.61118,9263569090.60421,926356909.06042
0.85,twenty_five_percent,0.25,1669349621.90522,8346748109.5261,287653377.666831,1655598324.03898,1218225656.61118,9263569090.60421,2315892272.65105
0.9,zero,0,0,0,287653377.666831,1655598324.03898,201641921.601379,1569586867.97353,0
0.9,estimated_naive,0.0142455184434607,0,0,287653377.666831,1655598324.03898,201641921.601379,1569586867.97353,22359578.6763306
0.9,ten_percent,0.1,0,0,287653377.666831,1655598324.03898,201641921.601379,1569586867.97353,156958686.797352
0.9,twenty_five_percent,0.25,0,0,287653377.666831,1655598324.03898,201641921.601379,1569586867.97353,392396716.993381
1,zero,0,0,0,287653377.666831,1655598324.03898,201641921.601379,1569586867.97353,0
1,estimated_naive,0.0142455184434607,0,0,287653377.666831,1655598324.03898,201641921.601379,1569586867.97353,22359578.6763306
1,ten_percent,0.1,0,0,287653377.666831,1655598324.03898,201641921.601379,1569586867.97353,156958686.797352
1,twenty_five_percent,0.25,0,0,287653377.666831,1655598324.03898,201641921.601379,1569586867.97353,392396716.993381
,zero,0,0,0,8472439.62808188,59746036.5033537,7276708.02372634,58550304.8989981,0
,estimated_naive,0.0142455184434607,0,0,8472439.62808188,59746036.5033537,7276708.02372634,58550304.8989981,834079.448308925
,ten_percent,0.1,0,0,8472439.62808188,59746036.5033537,7276708.02372634,58550304.8989981,5855030.48989981
,twenty_five_percent,0.25,0,0,8472439.62808188,59746036.5033537,7276708.02372634,58550304.8989981,14637576.2247495
