payment_year,program_family,payment_dollars,transactions,counties
2014,OTHER_FSA,7371361291.02,1707582,3013
2015,ARC_PLC,5140292896.63,1414546,2376
2015,OTHER_FSA,3391681645.75,1064970,2988
2016,ARC_PLC,8016677093.85,2520141,2818
2016,OTHER_FSA,2934941391.23,969355,2996
2017,ARC_PLC,7034704973.44,2283958,2821
2017,OTHER_FSA,2702489994.52,928262,2946
2018,ARC_PLC,3184919950.34,1622877,2798
2018,MFP,5164643883.58,712123,2415
2018,OTHER_FSA,3802976379.98,1078671,2976
2019,ARC_PLC,2669635204.9,1609648,2772
2019,MFP,3387288171.1,314459,2575
2019,OTHER_FSA,14125798548.36,2173268,3025
2020,ARC_PLC,6240140809.02,3051954,2784
2020,MFP,12365236.25,1422,524
2020,OTHER_FSA,32019385426.24,4679893,3075
2021,ARC_PLC,2233238581.91,1358986,2715
2021,CFAP,6022773959.78,1008522,3046
2021,MFP,1430688.83,286,165
2021,OTHER_FSA,7758753964.86,1547193,3070
2022,ARC_PLC,269544303.82,141604,1648
2022,CFAP,5969118.28,977,465
2022,MFP,300436.9,10,8
2022,OTHER_FSA,12428689653.65,1604166,3026
2023,ARC_PLC,276891786.12,186654,1348
2023,CFAP,102154776.67,76885,2437
2023,MFP,321772,8,4
2023,OTHER_FSA,8789576240.88,1890532,3058
2024,ARC_PLC,474642244.15,275205,1425
2024,CFAP,917934.61,272,173
2024,OTHER_FSA,5996038256.89,1621922,3048
2025,ARC_PLC,2121158002.57,1184239,2404
2025,CFAP,255624.37,53,38
2025,OTHER_FSA,22264876004.65,2879187,3068
